fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
6.8,0.45,0.28,26.05,0.031,27,122,1.003,3.06,0.42,10.6,6
7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,7
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,7
6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,6
6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,6
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.933,6
6.3,0.25,0.53,1.8,0.021,41,101,0.98932,3.19,0.31,13,6
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.967,7
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
